Country,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Recovered,Critical
 China ,"80,152", +126 ," 2,945 ",+33 ," 29,810 ","47,397 ","6,806 "
 S. Korea ,"5,186", +851 , 28 , ," 5,124 ",34 ,27 
 Iran ,"2,336", +835 , 77 ,+11 ," 1,824 ",435 , 
 Italy ,"2,036", , 52 , ," 1,835 ",149 ,166 
 Diamond Princess ,706, , 6 , , 600 ,100 ,36 
 Japan ,283, +9 , 6 , , 234 ,43 ,23 
 France ,191, , 3 , , 176 ,12 ,8 
 Germany ,188, +23 , , , 172 ,16 ,2 
 Spain ,152, +32 , , , 150 ,2 ,3 
 Singapore ,110, +2 , , , 32 ,78 ,6 
 USA ,103, +3 , 6 , , 88 ,9 ,7 
 Hong Kong ,100, , 2 , , 62 ,36 ,6 
 Kuwait ,56, , , , 56 , , 
 Bahrain ,49, , , , 49 , , 
 Switzerland ,45, +15 , , , 44 ,1 , 
 Thailand ,43, , 1 , , 12 ,30 ,1 
 Taiwan ,42, +1 , 1 , , 29 ,12 ,1 
 U.K. ,40, +1 , , , 32 ,8 , 
 Australia ,39, +6 , 1 , , 23 ,15 ,1 
 Malaysia ,36, +7 , , , 14 ,22 , 
 Norway ,32, +7 , , , 32 , , 
 Canada ,27, , , , 20 ,7 , 
 Iraq ,26, , , , 26 , , 
 Netherlands ,24, +6 , , , 24 , ,1 
 Sweden ,24, +9 , , , 24 , , 
 Austria ,21, +3 , , , 21 , , 
 U.A.E. ,21, , , , 16 ,5 ,2 
 Vietnam ,16, , , , 0 ,16 , 
 Belgium ,13, +5 , , , 12 ,1 , 
 Lebanon ,13, , , , 13 , , 
 Israel ,12, , , , 11 ,1 , 
 San Marino ,10, +2 , 1 , , 9 , ,1 
 Macao ,10, , , , 4 ,6 , 
 Croatia ,9, +1 , , , 9 , , 
 Iceland ,9, , , , 9 , , 
 Qatar ,8, +1 , , , 8 , , 
 Ecuador ,7, +1 , , , 7 , ,1 
 Finland ,7, , , , 6 ,1 , 
 Greece ,7, , , , 7 , , 
 Denmark ,6, +2 , , , 6 , , 
 India ,6, , , , 3 ,3 , 
 Mexico ,6, , , , 5 ,1 , 
 Oman ,6, , , , 4 ,2 , 
 Algeria ,5, , , , 5 , , 
 Czechia ,5, +1 , , , 5 , , 
 Pakistan ,5, +1 , , , 5 , , 
 Romania ,4, +1 , , , 3 ,1 , 
 Philippines ,3, , 1 , , 0 ,2 , 
 Azerbaijan ,3, , , , 3 , , 
 Georgia ,3, , , , 3 , , 
 Russia ,3, , , , 1 ,2 , 
 Brazil ,2, , , , 2 , , 
 Egypt ,2, , , , 1 ,1 , 
 Indonesia ,2, , , , 2 , , 
 Portugal ,2, , , , 2 , , 
 Afghanistan ,1, , , , 1 , , 
 Andorra ,1, , , , 1 , , 
 Armenia ,1, , , , 1 , , 
 Belarus ,1, , , , 1 , , 
 Cambodia ,1, , , , 0 ,1 , 
 Dominican Republic ,1, , , , 1 , , 
 Estonia ,1, , , , 1 , , 
 Ireland ,1, , , , 1 , , 
 Jordan ,1, , , , 1 , , 
 Latvia ,1, , , , 1 , , 
 Lithuania ,1, , , , 1 , , 
 Luxembourg ,1, , , , 1 , , 
 North Macedonia ,1, , , , 1 , , 
 Monaco ,1, , , , 1 , , 
 Morocco ,1, , , , 1 , , 
 Nepal ,1, , , , 0 ,1 , 
 New Zealand ,1, , , , 1 , , 
 Nigeria ,1, , , , 1 , , 
 Saudi Arabia ,1, , , , 1 , , 
 Senegal ,1, , , , 1 , , 
 Sri Lanka ,1, , , , 0 ,1 , 
 Tunisia ,1, , , , 1 , , 
 Ukraine ,1, +1 , , , 1 , , 
Total:,"92,275","1,952","3,130",44,"40,694","48,451","7,098"
