Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop
USA,"276,965","+32,088","7,391 ","+1,320","12,283","257,291","5,787",837,22
Italy,"119,827","+4,585","14,681 ",+766,"19,758","85,388","4,068","1,982",243
Spain,"119,199","+7,134","11,198 ",+850,"30,513","77,488","6,416","2,549",240
Germany,"91,159","+6,365","1,275 ",+168,"24,575","65,309","3,936","1,088",15
France,"64,338","+5,233","6,507 ","+1,120","14,008","43,823","6,662",986,100
Iran,"53,183","+2,715","3,294 ",+134,"17,935","31,954","4,035",633,39
UK,"38,168","+4,450","3,605 ",+684,135,"34,428",163,562,53
Turkey,"20,921","+2,786",425 ,+69,484,"20,012","1,251",248,5
Switzerland,"19,606",+779,591 ,+55,"4,846","14,169",348,"2,265",68
Belgium,"16,770","+1,422","1,143 ",+132,"2,872","12,755","1,205","1,447",99
Netherlands,"15,723","+1,026","1,487 ",+148,250,"13,986","1,324",918,87
Canada,"12,375","+1,092",208 ,+35,"2,186","9,981",120,328,6
Austria,"11,524",+395,168 ,+10,"2,022","9,334",245,"1,280",19
S. Korea,"10,062",+86,174 ,+5,"6,021","3,867",55,196,3
Portugal,"9,886",+852,246 ,+37,68,"9,572",245,970,24
Brazil,"9,194","+1,150",363 ,+39,127,"8,704",296,43,2
Israel,"7,428",+571,40 ,+4,403,"6,985",113,858,5
Sweden,"6,131",+563,358 ,+50,205,"5,568",469,607,35
Australia,"5,454",+140,28 ,+3,585,"4,841",85,214,1
Norway,"5,370",+223,59 ,+9,32,"5,279",96,991,11
Ireland,"4,273",+424,120 ,+22,25,"4,128",148,865,24
Czechia,"4,190",+332,53 ,+9,72,"4,065",77,391,5
Russia,"4,149",+601,34 ,+4,281,"3,834",8,28,0.2
Denmark,"3,757",+371,139 ,+16,"1,193","2,425",153,649,24
Chile,"3,737",+333,22 ,+4,427,"3,288",31,195,1
Poland,"3,383",+437,71 ,+14,56,"3,256",50,89,2
